favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
50,Twitter Web Client,"Please, for the love of god, the percentage POINT change is not the same as the percentage change #ae17 use this https://t.co/4nGvoOntah",,False,Fri Mar 03 11:14:24 +0000 2017,21,837622180200468480
0,Twitter for iPhone,@simonredfern @StarbucksUK does this apply to staff in Northern Ireland?,simonredfern,False,Fri Sep 25 07:11:21 +0000 2015,0,647307386215092224
1,Twitter Web Client,"If Paul Givan takes the bedroom tax regulation direct to the Assembly, without Exec approval, does that breach the Ministerial Code?",,False,Thu Jan 12 17:42:35 +0000 2017,3,819600476228505601
0,Echofon,@murphysurveyors any hints on what's going in there?,murphysurveyors,False,Tue Feb 25 17:04:50 +0000 2014,0,438358941496778752
1,Twitter Web Client,It also finds that among this older male group not having any qualifications increases the likelihood of being inac… https://t.co/3oqpkNJNR4,JP_Biz,False,Thu Oct 04 11:27:37 +0000 2018,0,1047810468914626560
0,Twitter Web Client,https://t.co/FoDl5Xcd1N,,False,Tue Feb 26 10:01:38 +0000 2019,0,1100335068604698629
4,Twitter for iPad,"It differs a bit from the Sun story - no cameras, based on GPS and or/ mobile phones.",JP_Biz,False,Wed Feb 06 09:53:32 +0000 2019,1,1093085272055730176
1,Twitter for iPhone,"NI's largest private medical group, 352 Healthcare, may have to make redundancies as a result of a 'pause' in NHS elective referrals.",,False,Wed Aug 20 15:57:34 +0000 2014,2,502122277551763456
0,Twitter Web Client,CVS said decision to close Belfast not related to quality of work rather it's about 'efficiencies across the entire company.',,False,Tue Nov 10 16:13:09 +0000 2015,2,664113572792967168
0,Twitter Web Client,@Ardnacuach i can understand why its drafted in this way as an anti-abuse measure but could be a few unintended consequences,Ardnacuach,False,Thu Jan 08 16:48:34 +0000 2015,0,553231802241142785
0,Twitter Web Client,The farmers might be about to fall out with Jonathan Bell over wind turbine subsidies. Not a position any NI politician wants to be in.,,False,Wed Sep 30 12:02:37 +0000 2015,2,649192621366231040
0,Twitter for iPhone,From the sit-in to the pensions case Visteon looks like a bit of a textbook example of relevance of trade unions/ worker solidarity.,,False,Wed Apr 02 10:52:44 +0000 2014,1,451311260244905984
0,Twitter for iPhone,This Nama deal must be another blow for Pimco coming so soon after the passing of Bill Gross's cat.,,False,Fri Apr 04 10:38:56 +0000 2014,2,452032565835481089
1,Twitter Web Client,@BBCgmu Germany lowest unemployment since reunification; Spanish GDP about to pass pre-crisis peak; EZ PMI suggests… https://t.co/pdaQMDbpaJ,BBCgmu,False,Fri Apr 07 07:51:07 +0000 2017,0,850254596526161923
0,Twitter Web Client,British Chambers of Commerce raised the issue of HMRC capacity as lots of companies scramble to get AEO status. Men… https://t.co/E8uHONEvLU,JP_Biz,False,Tue Jan 23 11:08:35 +0000 2018,1,955759159647129600
0,Twitter Web Client,"@JeansAndSheux Huge collection of all time bangers, steeply reduced https://t.co/jsBsXhh5tl",JeansAndSheux,False,Wed Jul 25 15:58:20 +0000 2018,0,1022149055663755265
1,Twitter for iPhone,"Planners have recommended refusal for the Little Wing pizza chain to convert a shop on Stranmillis Road, Belfast into a restaurant",,False,Mon Jun 02 10:09:53 +0000 2014,2,473406136864215040
1,Twitter for iPhone,Birthday honours in NI include: CBE for John Cunningham who sold his business to GE &amp; then went again with the Camlin Group,,False,Sat Jun 17 08:55:19 +0000 2017,0,876000293107924997
1,Twitter for iPhone,The Tughans partner referenced in their statement was then Managing Partner &amp; ex-CBI chair Ian Coulter http://t.co/jACLkMYQAe,,False,Fri Jul 03 07:33:25 +0000 2015,2,616872359044206592
10,Twitter for iPhone,Apparently a travelogue made for a general audience hasn't turned out to be a closely argued historical treatise &amp; some people are annoyed.,,False,Sun Nov 29 20:59:33 +0000 2015,6,671071018086215680
2,Twitter for iPhone,@Glenna_lynch @TomLyonsBiz @gavinsblog I'm amazed people keep falling out with Greg.,Glenna_lynch,False,Sun Feb 14 11:30:43 +0000 2016,0,698831732305436674
1,Twitter Web Client,@sdonnan this is superb for a game of guess-the-supply-chain.,sdonnan,False,Wed Dec 14 15:48:54 +0000 2016,0,809062616224120832
0,Twitter Web Client,@faisalislam will that attract a Barnett consequential?,faisalislam,False,Fri Jun 19 11:05:40 +0000 2015,0,611852339675316224
1,Twitter Web Client,"Belfast's poshest office block, the Soloist, has been sold to a London firm, CL 10 Ltd, according to Land Registry filings.",,False,Mon Feb 15 16:34:26 +0000 2016,3,699270552536666114
5,Twitter for iPhone,Slightly alarming to switch on the Today programme just as Justin is saying ‘But the benefit of mass poisoning is that it’s limited.’,,False,Thu Jan 24 07:49:03 +0000 2019,0,1088342905322917888
1,Twitter for iPhone,@newsmulg Will have a piece up later making those points about the timeline. This will likely run until at least spring of next year.,newsmulg,False,Mon Sep 25 08:37:24 +0000 2017,0,912234567347695616
0,Twitter Web Client,The avg NI household pays the 2nd lowest amount of direct of tax of any UK region - but the 2nd highest amount of indirect tax via @ONS,,False,Mon Jun 29 09:41:43 +0000 2015,5,615455095019409408
22,Twitter Web App,"EU Ag Comm Hogan doing his thing in Dublin: 'The reality is that you can ignore 99% of the howling in Westminster,… https://t.co/mjGT1Wk5BL",,False,Fri Mar 15 10:34:56 +0000 2019,4,1106504041834647553
0,Twitter for iPhone,Even with that big drop in visitors from the Republic the performance is 30% better than same period in 2011. 2012 was exceptional year.,,False,Thu Nov 28 16:14:45 +0000 2013,0,406093815708393472
0,Twitter Web Client,@Conor_Devine no..could estimate if I took the time,Conor_Devine,False,Thu Jun 11 13:51:37 +0000 2015,0,608995000819552256
1,Twitter Web Client,@Doranpaul but they have this https://t.co/edjlWrqZiT,Doranpaul,False,Thu Jul 21 10:44:02 +0000 2016,0,756077266728353792
0,Twitter Web Client,@JonnyRotten8 @chrisjharrison @irishnewsbiz how would you describe Q programming vs CityBeat?,MrJonRotten,False,Thu Jan 29 15:41:52 +0000 2015,0,560825159142359040
0,Twitter for iPhone,Farm incomes in Northern Ireland up 31% in 2013 to £298m after a terrible 2012.,,False,Thu Jan 30 10:17:23 +0000 2014,3,428834319080374273
0,Twitter for iPhone,@ianjamesparsley hopefully any consultation will at least sort out a definition.,ianjamesparsley,False,Tue Apr 01 08:40:49 +0000 2014,1,450915675218149376
20,Twitter Web Client,Sen Neale Richmond has been sent out to monster the ERG report: 'This paper is dreamland stuff and completely disre… https://t.co/uxdjhbnmw8,,False,Wed Sep 12 13:17:23 +0000 2018,10,1039865558739701760
0,Twitter for iPhone,Everyone went shopping last year. But not at Christmas. https://t.co/8K4Ju6wHlQ,,False,Fri Jan 22 09:34:13 +0000 2016,2,690467495141064705
0,Twitter Web Client,@NewtonEmerson @julianoneill will almost certainly get some spillover benefits from any banks ramping up in Dublin,NewtonEmerson,False,Tue May 16 12:41:26 +0000 2017,0,864460782947504128
7,Twitter Web Client,I hope all the Euro-policy wonks &amp; junior diplomats obliged to watch Dáil questions are enjoying hearing about turf… https://t.co/vurgMj9ssr,,False,Tue Nov 06 14:45:02 +0000 2018,3,1059818946667393027
6,Twitter Web Client,"A drinks licence application suggests Bubbacue, the Belfast BBQ joint, is opening a new branch on Botanic Avenue.",,False,Fri May 19 07:08:06 +0000 2017,1,865464060715819008
0,Twitter for iPhone,"@brianmlucey to be fair that unit at the top of Donegall Place has always been hard to let, but there's a laser eye surgery in it now.",brianmlucey,False,Sun Sep 14 19:40:21 +0000 2014,0,511238037398114305
1,Echofon,"Denis O'Brien, Ireland richest man/ resident of Malta, to be paid a $650m dividend from his telecom firm this year, according to @FT",,False,Mon Jan 20 22:48:33 +0000 2014,1,425399478695497728
