favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
7,Twitter for Android,"Great weekend in the @ShanklyHotel. With all the rapid development going on around the city of late, this definitel… https://t.co/8kd2QvaNlp",,False,Mon Aug 20 09:47:02 +0000 2018,1,1031477699104129026
0,Twitter Web Client,"In today's TH: Teen dies after collision, Ballygawley remembered 25 years on, link between Omagh bomb and Catholic feast day 'despicable'...",,False,Mon Aug 19 11:15:19 +0000 2013,0,369417288937504768
1,Twitter for Android,@LeonaONeill1 Lol. https://t.co/wDUiwte6UN,LeonaONeill1,False,Tue Jun 05 20:14:34 +0000 2018,0,1004094145848332288
1,Twitter Web Client,@johnjazzharan They have to be notified for events using public roads  https://t.co/50Od15hJJF,johnjazzharan,False,Mon Jun 22 13:43:15 +0000 2015,0,612979162240942080
2,Twitter for Android,https://t.co/FFKE7R3Py0,RyanMcAleerbiz,False,Fri Nov 16 23:32:41 +0000 2018,0,1063575616136667136
0,Twitter for Android Tablets,It's occasions like this that you really miss @grahnort. #openingworldcup,,False,Thu Jun 12 18:33:30 +0000 2014,0,477156756918108160
0,Twitter Web Client,"@LyraMcKee @WillLeitch If newspapers had the resources, funding and staff numbers the BBC enjoy...",LyraMcKee,False,Wed Sep 18 21:30:38 +0000 2013,0,380443772875583488
1,TweetDeck,"Still early days, but England exiting #Euro2016 3 days before #EUref?",,False,Thu Jun 16 13:54:26 +0000 2016,1,743441606980829185
0,Twitter for Android,"@francismccloy Linden Foods, Dunbia off the top of my head.",francismccloy,False,Wed Jan 01 21:35:55 +0000 2014,0,418495829402726401
1,Twitter Web Client,Worth recalling that @JohnODowdSF narrowly took the 6th Upper Bann seat last year. 5 seat nature of #AE17 puts SF's 2 seats under pressure.,RyanMcAleerbiz,False,Mon Jan 16 13:31:49 +0000 2017,0,820986918229934080
9,Twitter for Android,I wonder how many elections you'd have to cover before they'd put you up there. #WestTyrone https://t.co/AqMn5hmXec,,False,Fri May 04 01:53:45 +0000 2018,0,992220707156365314
0,Twitter for Android,DUP appear to be adopting the solitary 'gatekeeper' policy in the Assembly Chamber for debates as well.,,False,Tue Sep 15 14:34:41 +0000 2015,1,643795075735158785
1,Twitter for Android,Flipping Fiji...,RyanMcAleerbiz,False,Thu Sep 17 14:44:22 +0000 2015,0,644522286792507392
3,Twitter for Android,In town for @DamoDempsey https://t.co/hTCZjggjgf,,False,Thu Dec 21 20:03:06 +0000 2017,0,943934873961664512
30,Twitter for Android,Candidate pays for ad in advertising paper. Congratulates ad paper for good 'coverage' by publishing his ad. https://t.co/x9VOeUdUrf,,False,Fri Apr 08 20:55:53 +0000 2016,14,718542907557474305
0,Twitter for Android,LATEST: Crash closes part of the A4 dual carriageway - https://t.co/iSgO685AkX https://t.co/MpYLnew0oF,,False,Thu Feb 11 14:53:25 +0000 2016,0,697795580962217989
1,Twitter for Android,@ConorSharkeySC There was a mouthful left in her! Should be banned from Windsor for life for that alone.,ConorSharkeySC,False,Fri Jul 14 20:57:20 +0000 2017,0,885966464364183553
13,Twitter Web Client,"Fair play to Armagh, great result for them. Leaves quarter final make-up: 3xUlster, 3xConnacht, 1xLeinster and 1xMunster.",,False,Sat Jul 29 19:36:00 +0000 2017,4,891381816329879552
